Mississippi Lookouts Total known Sites - 261 Last Update - 2/24/2008, 
Name, Status, Lat (D/M/S), Long (D/M/S), Notes, 
Airey, Standing, 304121, 890350, Standing 10/2005, 
Aldarge, Unknown, 345502, 891448, N/A, 
Amite, Unknown, 311029, 904724, Also known as Liberty Lookout, 
Arkabutla, Unknown, 344030, 901148, Also known as Forest Tower, 
Ashley, Unknown, 314700, 901310, N/A, 
Bagley, Unknown, 343015, 892618, N/A, 
Banner, Unknown, 340706, 892306, N/A, 
Barge, Unknown, 330803, 885108, N/A, 
Batesville, Not Standing, 341830, 895440, Removed prior to 2007, 
Baxter, Unknown, 321142, 891025, N/A, 
Beaumont, Not Standing, 310803, 885458, Gone <1964, 
Belzoni, Unknown, 330822, 903101, N/A, 
Benndale, Unknown, 305214, 884834, N/A, 
Benndale (old), Not Standing, 305337, 885013, Gone <1971, 
Benton, Unknown, 345708, 890158, N/A, 
Berwick, Standing, 310627, 905618, Standing 02/2004, 
Bethenden, Unknown, 331320, 885629, N/A, 
Big Creek, Unknown, 313600, 884535, N/A, 
Bilbo, Not Standing, 304605, 892947, Destroyed by Katrina 08/2005, 
Blue Hill, Unknown, 344217, 882255, N/A, 
Bluff Lake, Unknown, 331645, 884736, N/A, 
Brookhaven, Unknown, 313145, 903205, N/A, 
Brownsville, Unknown, 322755, 902421, N/A, 
Buck Branch, Unknown, 304750, 894409, N/A, 
Buckley, Not Standing, 314626, 900100, Gone <1955, 
Bude, Unknown, 312437, 905057, N/A, 
Buffalo, Unknown, 311600, 911141, ?N/A, 
Camden, Standing, 324915, 894614, Standing 2007, 
Carrollton, Standing, 332918, 895525, Standing 01/2001, 
Carthage, Unknown, 324107, 893035, N/A, 
Cato, Not Standing, 320355, 895501, Gone <2000, 
Center (Union), Unknown, 342943, 885339, N/A, 
Central, Standing, 305418, 884003, Standing 10/2005, 
Choctaw (Ackerman), Unknown, 332323, 891019, N/A, 
Choctaw Lake, Unknown, 331650, 890821, N/A, 
Church Hill, Standing, 313923, 911346, Standing 01/2001, 
Clay, Standing, 334510, 885241, Standing 2007, 
Clear Springs, Unknown, 320836, 892043, N/A, 
Clem, Unknown, 314436, 895009, N/A, 
Coahoma, Unknown, 341104, 904426, Possibly removed in 1983, 
Coffeeville, Unknown, 340006, 894743, N/A ?, 
Columbus, Standing, 333356, 882606, Standing 2008, 
Conehatta, Unknown, 322732, 891537, N/A, 
County Line, Unknown, 323517, 890435, N/A, 
Coursey (Heater Ridge), Unknown, 320616, 893749, N/A ?, 
Covington, Unknown, 313759, 893457, N/A, 
Crawford, Unknown, 344604, 890616, N/A, 
Crenshaw, Standing, 343157, 901110, Standing 01/2001, 
Crosby, Unknown, 311246, 911716, N/A, 
Crystal Springs, Unknown, 320000, 902001, N/A, 
Deerbrook, Unknown, 331327, 882407, N/A, 
DeKalb, Standing, 324451, 883914, Standing 2004, 
Denmark, Unknown, 342140, 891925, ?N/A, 
Dennis, Not Standing, 343359, 881318, Gone <2003, 
Dixon, Unknown, 324034, 891506, N/A, 
Doloroso, Unknown, 311824, 911927, N/A, 
Eastport, Unknown, 345312, 880713, N/A, 
Eden, Unknown, 325741, 901901, N/A, 
Elico, Unknown, 303903, 884613, N/A, 
Elliott, Unknown, 334109, 895711, N/A, 
Energy, Unknown, 320813, 883329, N/A, 
Enterprise, Not Standing, 320753, 885119, Removed before 1991, 
Enterprise 1, Unknown, 321009, 885104, N/A, 
Errata (Sandersville), Unknown, 314549, 890333, N/A, 
Fair, Unknown, 330311, 885128, N/A, 
Fairview, Unknown, 342138, 881859, N/A, 
Flintkote, Unknown, 325519, 883835, N/A, 
Forkville, Not Standing, 323117, 893823, Removed before 2006, 
Forrest (McLaurin), Not Standing, 311114, 891436, Gone (footings present) <2005, 
Foxworth, Unknown, 311225, 895516, N/A, 
Franklin, Unknown, 312848, 905915, N/A ?, 
Gauley, Unknown, 335413, 892231, N/A, 
Glen, Unknown, 345314, 882625, N/A, 
Glenville, Standing, 343055, 894613, Standing 01/2001, 
Gore Springs, Unknown, 334502, 894140, N/A, 
Green, Unknown, 311304, 884208, N/A, 
Greens Creek, Unknown, 312942, 895105, N/A, 
Greenwood, Standing, 333136, 901548, Standing in 2008, 
Hamilton, Standing, 334927, 891328, Standing 2006, 
Handle, Unknown, 325643, 885016, N/A, 
Harrison (Gunlock), Standing, 303330, 890259, Standing 02/2005, 
Harrisville, Unknown, 315539, 900602, N/A, 
Hazlehurst (Wilson), Unknown, 314911, 902648, N/A, 
Heidelberg, Unknown, 315407, 885506, N/A, 
Helena, Not Standing, 303050, 882955, Gone <2005, 
Heucks, Unknown, 313646, 901815, N/A, 
Hickman, Unknown, 304400, 891546, N/A, 
Hiwannee, Unknown, 314747, 883751, N/A ?, 
Holder, Unknown, 315800, 891016, N/A, 
Homing, Unknown, 310934, 903528, N/A, 
Hoodtown, Unknown, 320003, 903610, N/A, 
Hopewell, Unknown, 340928, 881500, N/A, 
Hurley, Unknown, 304039, 883001, N/A, 
Hurley?, Unknown, 303937, 883003, N/A, 
Improve, Unknown, 312155, 894332, N/A, 
Jackson (Hilda), Standing, 302550, 883909, Standing 01/2005, 
Jasper, Unknown, 320602, 890307, N/A, 
Jeff Davis, Unknown, 321208, 905231, N/A, 
Jefferson Davis, Unknown, 313218, 894806, N/A, 
Knoxville, Unknown, 312337, 910320, N/A, 
Kosciusko, Standing, 330433, 893718, Standing 2005, 
Lacy, Unknown, 303807, 893915, N/A, 
Lafayette (Thackers), Standing, 341937, 893447, Standing 03/2004, 
Lake Lowndes, Unknown, 332418, 881905, N/A, 
Lamar, Standing, 310849, 893005, Standing 10/2005, 
Latimer, Unknown, 303203, 885136, N/A, 
Lauderdale (Tamola), Unknown, 323049, 882732, N/A, 
Leaf, Unknown, 310027, 885044, N/A, 
Lee, Unknown, 342155, 883628, N/A ?, 
Lee, Not Standing, 305131, 892017, Gone (footings present) <2005, 
Leesdale, Unknown, 312834, 911004, N/A, 
Lexington, Unknown, 330341, 900100, N/A, 
Lincoln, Standing, 313111, 903207, Standing 01/2001, 
Lodi, Unknown, 333250, 892655, N/A, 
Lone Pine, Unknown, 311017, 890909, N/A, 
Longview, Unknown, 332517, 885327, N/A, 
Lorman, Unknown, 315049, 910608, N/A, 
Louin, Unknown, 320530, 891505, N/A, 
Luce?, Not Standing, 305713, 882918, Gone <1971, 
Maben, Standing, 332959, 890421, Standing 2007, 
Madison, Not Standing, 322801, 901037, Gone <04/2003, 
Marietta, Unknown, 343217, 882952, N/A, 
Marion, Unknown, 322628, 884047, N/A, 
Mars Hill, Unknown, 325645, 891515, N/A, 
Maxie, Not Standing, 305716, 891119, Gone - moved to farm near Sumrall <2004, 
McCool, Standing, 330633, 891909, Standing 2003, 
McCower, Unknown, 332034, 883219, N/A, 
McHenry, Not Standing, 304347, 890840, Gone <11/1958, 
McHenry, Unknown, 341151, 882726, N/A, 
McNair, Unknown, 313951, 905857, N/A, 
Meridian (Lauderdale), Unknown, 322143, 883755, N/A, 
Meridian South, Unknown, 321941, 884228, N/A, 
Midway, Standing, 325155, 900824, Standing 01/2001, 
Millard, Unknown, 304330, 893558, N/A, 
Mize, Unknown, 314845, 893518, N/A, 
Mize (old), Not Standing, 315104, 893353, Gone <11/1966, 
Monterey, Unknown, 321109, 900457, N/A, 
Montgomery, Standing, 333256, 893813, Roof Off? 01/2001, 
Monticello, Unknown, 313612, 900246, N/A, 
Moore, Standing, 321926, 893019, Standing 2006, 
Morton, Standing, 321913, 894001, N/A, 
Moscow, Unknown, 324123, 885014, N/A, 
Moselle, Unknown, 313253, 891515, N/A, 
Mount Hebron, Unknown, 334741, 882048, N/A, 
Myrtle, Unknown, 343451, 891005, N/A, 
Natchez, Unknown, 312930, 912158, N/A, 
Necaise, Unknown, 303635, 892427, N/A, 
Nesbit, Not Standing, 345422, 895900, Gone <2003, 
Newton, Unknown, 322215, 890714, N/A, 
Noxapater, Standing, 325927, 890309, Standing 2005, 
Noxubee, Unknown, 330558, 883928, N/A, 
Oak Hill (Pontotoc), Unknown, 341938, 885659, N/A, 
Oak Ridge, Unknown, 322651, 904447, N/A, 
Oakland, Not Standing, 340251, 895736, Gone <03/1968, 
Olah, Unknown, 311731, 893416, N/A, 
Pace, Unknown, 334806, 905221, N/A, 
Paret, Standing, 310506, 890311, Standing 10/2005, 
Parker?, Not Standing, 304903, 883336, Gone <1971, 
Paulding, Unknown, 320212, 890240, N/A, 
Paulette, Unknown, 330100, 882402, N/A, 
Pearlington, Unknown, 301553, 893659, N/A, 
Petal, Unknown, 312254, 891040, N/A, 
Peyton, Unknown, 314959, 904652, N/A, 
Phoenix, Unknown, 323431, 903420, N/A, 
Pine Mountain, Unknown, 345342, 884402, N/A, 
Pinebur, Not Standing, 310721, 893959, Gone (footings present) <2005, 
Pineyoods, Not Standing, 312801, 884434, Gone <1991, 
Pisgah, Unknown, 310637, 882935, N/A, 
Pleasant Hill, Unknown, 314416, 904146, N/A ?, 
Pleasant Ridge, Unknown, 314031, 891456, N/A, 
Point Laurel, Unknown, 313612, 890225, N/A, 
Poplar Creek (Palmertree), Unknown, 331840, 893546, N/A, 
Porterville, Unknown, 324108, 883036, N/A, 
Post, Unknown, 323113, 885229, N/A, 
Prentiss (Jumpertown), Unknown, 344243, 883948, N/A, 
Providence, Unknown, 331438, 900747, N/A, 
Quentin, Unknown, 313223, 904424, N/A ?, 
Quitman, Unknown, 315830, 883727, N/A, 
Quitman, Unknown, 320226, 884221, N/A, 
Raleigh, Unknown, 320104, 893054, N/A, 
Raymond, Unknown, 321342, 902159, N/A, 
Red Banks (Mahon), Unknown, 344857, 893147, N/A, 
Red Creek, Not Standing, 305559, 892235, Gone <11/1958, 
Red Rock, Not Standing, 324851, 904622, Gone <1970, 
Reid, Standing, 335933, 891138, Standing 03/2004, 
Remus, Unknown, 325244, 892051, N/A, 
Richton, Standing, 311746, 885724, Standing 10/2005, 
Rider, Unknown, 340717, 894202, N/A, 
Rock Hill, Not Standing, 310500, 891832, Gone (footings present) <2005, 
Rock Hill, Unknown, 320157, 900810, N/A, 
Rockhill, Unknown, 333235, 884655, N/A, 
Rocky Hill, Unknown, 302705, 892715, N/A, 
Rolling Fork Issaquena, Standing, 325439, 905719, Standing 2003, 
Rose Hill, Standing, 310635, 902007, Standing 01/2004, 
Rosebloom, Unknown, 335242, 895621, N/A, 
Ruth, Unknown, 312331, 901729, N/A, 
Saint Ann, Unknown, 324721, 893941, N/A, 
Salem, Unknown, 311608, 900939, N/A, 
Sallis, Unknown, 325818, 894944, N/A, 
Sand Hill (Emory), Unknown, 331520, 895333, N/A, 
Sandtown, Unknown, 324802, 885939, N/A, 
Sandy Mountain, Unknown, 334446, 892333, N/A, 
Sanford, Not Standing, 313013, 892921, Gone (footings present) <2005, 
Scales, Unknown, 344701, 891851, N/A, 
Sellers, Unknown, 303616, 892240, N/A, 
Sharon, Standing, 323939, 895558, Standing 2007, 
Shiloh, Unknown, 343814, 893412, N/A, 
Shiloh, Unknown, 321339, 895015, N/A, 
Shipman, Not Standing, 305225, 883052, Gone (footings present) <2005, 
Shivers (Cody), Unknown, 314902, 900106, N/A, 
Simpson, Standing, 315414, 894652, Standing 02/2005, 
Singleton, Unknown, 325258, 893313, N/A, 
Skates, Unknown, 321142, 903737, N/A, 
Smith, Unknown, 302540, 891607, N/A, 
Smith, Unknown, 315931, 893108, N/A, 
Smithdale, Unknown, 311846, 904136, N/A, 
Snell, Unknown, 320852, 882900, N/A, 
Splunge, Unknown, 340042, 881952, N/A, 
Spring, Unknown, 322758, 895413, N/A, 
Spring Hill, Standing, 305617, 893313, Standing 10/2005, 
State Line, Unknown, 312457, 882852, N/A, 
Steel, Not Standing, 323017, 892438, Removed prior to 2006, 
Stephenson, Unknown, 311708, 910013, N/A, 
Stephenson (old), Not Standing, 311614, 905933, Gone <1969, 
Stone, Standing, 305058, 890203, Standing 10/2005, 
Stony, Not Standing, 312326, 883958, Gone (footings present) <2005, 
Summit, Standing, 311906, 902803, Standing 01/2001, 
Sun, Unknown, 321514, 892227, N/A, 
Sylvarena, Unknown, 320409, 892436, N/A, 
Tate (Coldwater), Standing, 344005, 895639, Standing 01/2001, 
Taylorsville, Unknown, 315439, 892133, N/A, 
Tiger Creek, Unknown, 312707, 885810, N/A, 
Tillman, Not Standing, 321714, 884929, Removed prior to 1990, 
Tilton, Unknown, 312602, 900454, N/A, 
Tippah County (Dumas), Unknown, 344002, 885143, N/A, 
Tombigbee, Unknown, 331606, 890523, N/A ?, 
Troy, Unknown, 340751, 885726, N/A, 
Tunica, Standing, 343830, 902250, Standing 01/2001, 
Tylertown, Unknown, 310435, 900208, N/A, 
University, Standing, 304358, 885444, Standing 10/2005, 
Verona, Not Standing, 341306, 884353, Gone <2005, 
Wausau, Standing, 313147, 885332, Standing 10/2005, 
Wayne, Unknown, 313756, 883946, N/A, 
Webster (Savannah), Unknown, 333957, 891107, N/A, 
Weir, Not Standing, 331812, 892011, Removed in the mid-90s, 
Westonia, Not Standing, 301804, 893450, Moved 1962 for Stennis Space Center, 
Whistler, Not Standing, 314413, 885013, Gone <1991, 
Wilbe, Not Standing, 305146, 885941, N/A, 
Willows, Unknown, 320225, 905319, N/A, 
Wilmot, Unknown, 331757, 905611, N/A, 
Winborn, Unknown, 343716, 891845, N/A, 
Winston, Unknown, 331009, 890517, N/A ?, 
Witch Dance, Unknown, 335735, 885504, N/A ?, 
Wolf River, Unknown, 310033, 893823, N/A, 
Woodall, Not Standing, 344716, 881430, Removed prior to 2003, 
Woodland, Unknown, 334740, 890528, N/A, 
Woodville, Unknown, 310533, 911357, N/A, 
Wren, Unknown, 335849, 883402, N/A, 
Yalobusha (Denley), Standing, 335643, 893854, Standing 2004, 
Yazoo, Unknown, 324454, 902124, N/A, 
Yocona, Unknown, 341504, 891055, N/A, 
, , , , , 
Totals: Total standing active - Not yet determined Total standing inactive - Not yet determined Total no longer standing - Not yet determined, 
